DATAFLOW,MEASURE,INDEX,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,DECIMALS,OBS_COMMENT,BASE_PERIOD
ABS:CPI(2.0.0),1,10001,10,50,Q,1978-Q4,15.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1978-Q3,15.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1978-Q2,15.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1978-Q1,14.8,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1977-Q4,14.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1977-Q3,14.2,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1977-Q2,14,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1977-Q1,13.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1976-Q4,13.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1976-Q3,12.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1976-Q2,12.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1976-Q1,12,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1975-Q4,11.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1975-Q3,11.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1975-Q2,11,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1975-Q1,10.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1974-Q4,10.2,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1974-Q3,9.9,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1974-Q2,9.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1974-Q1,9,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1973-Q4,8.8,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1973-Q3,8.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1973-Q2,8.2,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1973-Q1,7.9,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1972-Q4,7.8,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1972-Q3,7.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1972-Q2,7.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1972-Q1,7.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1971-Q4,7.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1971-Q3,7.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1971-Q2,7.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1971-Q1,7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1970-Q4,6.9,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1970-Q3,6.8,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1970-Q2,6.8,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1970-Q1,6.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1969-Q4,6.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1969-Q3,6.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1969-Q2,6.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1969-Q1,6.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1968-Q4,6.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1968-Q3,6.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1968-Q2,6.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1968-Q1,6.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1967-Q4,6.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1967-Q3,6.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1967-Q2,6.2,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1967-Q1,6.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1966-Q4,6.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1966-Q3,6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1966-Q2,6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1966-Q1,6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1965-Q4,5.9,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1965-Q3,5.8,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1965-Q2,5.8,,,,,
